.1,0.00390625,0.0078125
.2,0.00390625,0.01171875
.3,0.00390625,0.01171875
.4,0.00390625,0.01171875
.5,0.00390625,0.01171875
.6,0.00390625,0.01171875
.7,0.00390625,0.01171875
.8,0.00390625,0.01171875
.9,0.00390625,0.01171875
1.0,0.00390625,0.01171875
1.1,0.00390625,0.01953125
1.2,0.01171875,0.01953125
1.3,0.01953125,0.0234375
1.4,0.01953125,0.03515625
1.5,0.02734375,0.046875
1.6,0.04296875,0.05078125
1.7,0.05859375,0.05859375
1.8,0.07421875,0.07421875
1.9,0.09375,0.125
2.0,0.14453125,0.14453125
2.1,0.16796875,0.16796875
2.2,0.1796875,0.1796875
2.3,0.19921875,0.19921875
2.4,0.2109375,0.2109375
2.5,0.234375,0.234375
2.6,0.2578125,0.265625
2.7,0.2890625,0.2890625
2.8,0.328125,0.328125
2.9,0.3828125,0.3828125
3.0,0.4609375,0.4609375
3.1,0.4765625,0.4921875
3.2,0.5371094,0.5371094
3.3,0.5839844,0.5996094
3.4,0.6621094,0.6621094
3.5,0.7519531,0.7636719
3.6,0.8300781,0.8300781
3.7,1.015625,1.015625
3.8,1.03125,1.03125
3.9,0.9238281,0.9238281
4.0,1.078125,1.078125
4.1,1.09375,1.109375
4.2,1.09375,1.09375
4.3,1.09375,1.09375
4.4,1.1640625,1.1640625
4.5,1.1835938,1.1835938
4.6,1.2148438,1.2148438
4.7,1.2421875,1.2460938
4.8,1.265625,1.265625
4.9,1.3125,1.3164062
5.0,1.3554688,1.359375
5.1,1.3671875,1.3671875
5.2,1.4101562,1.4101562
5.3,1.4453125,1.4609375
5.4,1.484375,1.4882812
5.5,1.5292969,1.5332031
5.6,1.5683594,1.5761719
5.7,1.6074219,1.6113281
5.8,1.6621094,1.6699219
5.9,1.7324219,1.7363281
6.0,1.8144531,1.8261719
6.1,1.8417969,1.8574219
6.2,1.8925781,1.8925781
6.3,1.9316406,1.9316406
6.4,2.015625,2.03125
6.5,2.0351562,2.046875
6.6,2.0625,2.0625
6.7,2.0898438,2.1054688
6.8,2.1210938,2.1210938
6.9,2.15625,2.1679688
7.0,2.1992188,2.2070312
7.1,2.2070312,2.2226562
7.2,2.25,2.25
7.3,2.2773438,2.28125
7.4,2.3007812,2.3007812
7.5,2.3476562,2.3476562
7.6,2.3632812,2.3632812
7.7,2.3945312,2.4101562
