.1,8312,0.00390625,0.01171875
.2,7604,0.00390625,0.01171875
.3,7607,0.00390625,0.01171875
.4,7604,0.00390625,0.01171875
.5,7610,0.00390625,0.01171875
.6,7604,0.00390625,0.01171875
.7,7604,0.00390625,0.01171875
.8,7604,0.00390625,0.01171875
.9,7604,0.00390625,0.01171875
1.0,7610,0.00390625,0.01171875
1.1,14936,0.0078125,0.01171875
1.2,15333,0.01171875,0.01953125
1.3,15766,0.015625,0.0234375
1.4,15723,0.0234375,0.03125
1.5,16351,0.03515625,0.03515625
1.6,15018,0.04296875,0.05078125
1.7,16297,0.05859375,0.05859375
1.8,13628,0.08203125,0.08203125
1.9,12855,0.109375,0.109375
2.0,14755,0.15234375,0.15234375
2.1,16430,0.16796875,0.16796875
2.2,13890,0.17578125,0.17578125
2.3,13277,0.19140625,0.19140625
2.4,12870,0.20703125,0.20703125
2.5,11799,0.234375,0.234375
2.6,13555,0.2578125,0.265625
2.7,12709,0.296875,0.296875
2.8,13119,0.3203125,0.3359375
2.9,13287,0.3828125,0.3828125
3.0,15094,0.484375,0.484375
3.1,15864,0.5,0.5
3.2,17453,0.5371094,0.5371094
3.3,19673,0.5839844,0.5839844
3.4,22086,0.6699219,0.6777344
3.5,24335,0.7519531,0.7558594
3.6,26095,0.8300781,0.8300781
3.7,28155,1.0078125,1.0078125
3.8,48519,0.9902344,0.9902344
3.9,91133,0.9902344,0.9902344
4.0,13264,1.078125,1.09375
4.1,13257,1.09375,1.09375
4.2,15687,1.1171875,1.125
4.3,24720,1.1171875,1.1171875
4.4,15692,1.1640625,1.1679688
4.5,17069,1.1914062,1.1914062
4.6,16197,1.2109375,1.2109375
4.7,14609,1.2421875,1.2460938
4.8,14755,1.2773438,1.2773438
4.9,13693,1.3125,1.3164062
5.0,12387,1.3554688,1.359375
5.1,14248,1.3671875,1.3671875
5.2,14732,1.4101562,1.4101562
5.3,18618,1.4453125,1.453125
5.4,18654,1.484375,1.4882812
5.5,20887,1.5292969,1.5332031
5.6,20571,1.5625,1.5761719
5.7,20614,1.6230469,1.6230469
5.8,21583,1.6699219,1.6699219
5.9,20525,1.7324219,1.7363281
6.0,22894,1.8144531,1.8183594
6.1,23831,1.8378906,1.8378906
6.2,24679,1.9003906,1.9003906
6.3,27485,1.9628906,1.9628906
6.4,36419,1.9941406,1.9941406
6.5,50457,1.9941406,1.9941406
6.6,23845,2.0625,2.0742188
6.7,23067,2.0898438,2.1054688
6.8,23031,2.1210938,2.1210938
6.9,22125,2.1601562,2.1601562
7.0,20874,2.1992188,2.2070312
7.1,19847,2.2148438,2.2226562
7.2,19179,2.25,2.25
7.3,20395,2.2773438,2.28125
7.4,19584,2.3007812,2.3007812
7.5,24856,2.3476562,2.3476562
7.6,22856,2.3632812,2.3632812
7.7,22582,2.40625,2.4101562
7.8,23289,2.4492188,2.4492188
7.9,21726,2.4882812,2.4882812
8.0,24992,2.5410156,2.5410156
